Material,VOC (V),JSC (mA/cm2),FF (%),PCE (%)
TiO2,0.977,32.7298,76.52,24.47
ZnO,0.9763,32.729729,76.51,24.45
SnO2,0.9773,32.727865,76.52,24.48
PCBM,0.9769,32.701144,76.52,24.45
IGZO,0.9767,32.725191,76.52,24.46
